epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2969.32,0.98059,3.64888,0.92254,0.35368,0.61539,0.42733,0.35776,0.64245,2.16589,0.84859,0.00999429,0.00333143,0.00999429,0.00333143,0.00999429,0.00333143,0.00999429,0.00333143
2,15390.6,0.79975,1.93628,0.88148,0.75328,0.866,0.86435,0.74625,0.57304,1.17081,0.84008,0.0195984,0.0065328,0.0195984,0.0065328,0.0195984,0.0065328,0.0195984,0.0065328
3,17765,0.78409,1.40521,0.88475,0.80286,0.89812,0.89985,0.78394,0.55993,0.94755,0.84567,0.0288065,0.00960217,0.0288065,0.00960217,0.0288065,0.00960217,0.0288065,0.00960217
4,21695.1,0.73157,1.11321,0.87725,0.91063,0.95833,0.96662,0.85639,0.519,0.62126,0.83643,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,24147.9,0.67169,0.87606,0.86505,0.92714,0.97248,0.96958,0.8713,0.4754,0.47476,0.82667,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,26604,0.63264,0.742,0.85684,0.94223,0.97825,0.97806,0.88508,0.45797,0.40163,0.82212,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,29046.7,0.60592,0.66481,0.85041,0.94558,0.9816,0.97883,0.89312,0.44097,0.35883,0.81706,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,31447.7,0.59056,0.6195,0.84607,0.94018,0.98786,0.97797,0.89812,0.42581,0.34129,0.81317,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,33850.2,0.57268,0.58154,0.8424,0.93979,0.99142,0.97815,0.89502,0.43228,0.32469,0.81327,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,36250.3,0.56036,0.54964,0.83917,0.94815,0.99134,0.98222,0.9046,0.41413,0.29869,0.8108,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,38651.3,0.55007,0.53732,0.83612,0.94486,0.99468,0.98024,0.90189,0.4235,0.29974,0.8119,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,41058.5,0.54113,0.51526,0.83427,0.95158,0.99172,0.98329,0.90778,0.41376,0.2829,0.80899,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,43458.1,0.52936,0.49761,0.83337,0.94295,0.99686,0.97763,0.90563,0.40616,0.28523,0.80771,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,45856.1,0.52158,0.4873,0.83113,0.95687,0.98392,0.98378,0.91514,0.39236,0.26878,0.80458,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,48255.4,0.51731,0.47602,0.82942,0.95727,0.98308,0.98369,0.919,0.38481,0.26216,0.80201,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,50653.1,0.51096,0.46098,0.82748,0.9627,0.98234,0.98471,0.92007,0.38345,0.25488,0.80314,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,53081.6,0.50484,0.45208,0.82632,0.94818,0.99628,0.98058,0.91783,0.37776,0.25944,0.80009,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,55480.6,0.49816,0.44287,0.82481,0.94966,0.99658,0.98234,0.92036,0.37853,0.25068,0.80006,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,57834.8,0.49226,0.43566,0.82351,0.96368,0.98152,0.98521,0.92499,0.37213,0.24432,0.7994,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,60271.3,0.48796,0.42779,0.82165,0.96197,0.98477,0.98513,0.92648,0.36741,0.23945,0.7988,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,62689.1,0.48155,0.41729,0.82184,0.96263,0.98497,0.98588,0.9313,0.36005,0.2347,0.79701,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,65047.2,0.47702,0.4103,0.81987,0.96,0.98763,0.98542,0.92846,0.36588,0.23494,0.79727,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,67435.8,0.47504,0.40581,0.81939,0.96117,0.98727,0.98476,0.92897,0.36494,0.2332,0.79716,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,69886.5,0.46931,0.40143,0.82081,0.964,0.98494,0.98596,0.93221,0.3558,0.2272,0.79571,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,72322.2,0.46525,0.39635,0.82043,0.96242,0.9858,0.98534,0.93444,0.3503,0.22492,0.79428,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,74746.8,0.46,0.38818,0.8171,0.96562,0.98802,0.98702,0.93756,0.34685,0.2197,0.79354,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,77141.3,0.458,0.38328,0.81648,0.96553,0.98778,0.98661,0.9363,0.3511,0.21943,0.79417,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,79666,0.45384,0.38055,0.81675,0.96652,0.98493,0.98611,0.93875,0.34198,0.21685,0.79235,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
