epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,300.281,0.75947,2.4606,0.95071,0.83969,0.90359,0.92429,0.8172,0.49525,0.63565,0.83438,0.00998857,0.00332952,0.00998857,0.00332952,0.00998857,0.00332952,0.00998857,0.00332952
2,584.267,0.54767,0.68511,0.85793,0.92747,0.95704,0.96942,0.86954,0.45602,0.462,0.82618,0.0197907,0.00659689,0.0197907,0.00659689,0.0197907,0.00659689,0.0197907,0.00659689
3,863.462,0.54264,0.59548,0.86598,0.9244,0.96807,0.96731,0.86659,0.46635,0.4298,0.84173,0.0293948,0.00979827,0.0293948,0.00979827,0.0293948,0.00979827,0.0293948,0.00979827
4,1140.41,0.51127,0.52962,0.86933,0.93156,0.98126,0.97226,0.8868,0.41837,0.35895,0.83569,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1417.42,0.46976,0.44219,0.85683,0.95479,0.97397,0.98335,0.90717,0.39153,0.30373,0.82693,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1694.13,0.44672,0.40631,0.84774,0.95556,0.97872,0.98193,0.90904,0.38414,0.28576,0.82317,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1971.33,0.43085,0.37772,0.84229,0.96672,0.97399,0.98512,0.91781,0.36783,0.26124,0.81539,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2248.1,0.4181,0.36329,0.83829,0.95375,0.98556,0.98423,0.92163,0.35883,0.25858,0.81382,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2524.64,0.4059,0.34557,0.83378,0.96716,0.98589,0.98609,0.92553,0.34881,0.24288,0.81088,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2802.41,0.40116,0.33722,0.83202,0.96639,0.98134,0.98581,0.92737,0.34516,0.24107,0.80962,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3079.96,0.39267,0.32683,0.82928,0.9667,0.98748,0.98741,0.9299,0.33949,0.22967,0.80708,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3358.13,0.3873,0.31559,0.8268,0.9638,0.98911,0.98705,0.932,0.33642,0.22462,0.80622,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3636.54,0.38354,0.31322,0.82817,0.98133,0.98477,0.99073,0.937,0.33131,0.21692,0.80424,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3913.99,0.37881,0.30492,0.82511,0.96807,0.98674,0.98776,0.9352,0.32954,0.21909,0.8042,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4189.91,0.37509,0.2988,0.82403,0.97541,0.9893,0.98969,0.93975,0.32257,0.20794,0.80167,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4466.26,0.37077,0.29334,0.82126,0.97762,0.98748,0.98986,0.94203,0.32196,0.20414,0.80181,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4746.59,0.36816,0.28714,0.82142,0.97405,0.9904,0.98946,0.94041,0.32113,0.20343,0.80202,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5026.15,0.36518,0.28359,0.81935,0.97295,0.98974,0.98869,0.94216,0.31688,0.20172,0.79989,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
